"team","country","overall_points_team","status","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"1.FC Köln","Germany",0,"not out",2.5,0,":de:","Germany: 2.5 points","RheinEnergie Stadion",50.933611,6.875
"1.FC Slovácko","Czech Republic",0,"not out",0,,":cz:","Czech Republic: 0 points","Mestský fotbalový stadion Miroslava Valenty",49.065556,17.471461
"AA Gent","Belgium",0,"not out",0.8,0,":be:","Belgium: 0.8 points","Jules Ottenstadion",51.031389,3.766111
"AC Milan","Italy",0.571,"not out",2.286,25,":it:","Italy: 2.286 points","Stadio Giuseppe Meazza",45.478055,9.123947
"AEK Larnaca","Cyprus",0,"not out",0,,":cy:","Cyprus: 0 points","AEK Arena - Georgios Karapatakis",34.9263,33.597747222
"AIK Stockholm","Sweden",0,"not out",0.375,0,":se:","Sweden: 0.375 points","Friends Arena",59.3725,18
"Ajax","Netherlands",0.8,"not out",0.8,100,":nl:","Netherlands: 0.8 points","Johan Cruyff Arena",52.314166666,4.941944444
"Akademija Pandev","North Macedonia",0,"out",0.625,0,":mk:","North Macedonia: 0.625 points","Stadion Mladost",41.4462,22.637708
"Alashkert FC","Armenia",0.25,"out",0.625,40,":am:","Armenia: 0.625 points","Alashkert Stadium",40.154605,44.475231
"Anderlecht","Belgium",0,"not out",0.8,0,":be:","Belgium: 0.8 points","Lotto Park",50.834167,4.298333
"APOEL Nicosia","Cyprus",0,"not out",0,,":cy:","Cyprus: 0 points","GSP Stadium",35.114542,33.362864
"Apollon Limassol","Cyprus",0,"not out",0,,":cy:","Cyprus: 0 points","Tsirio Stadium",34.700914,33.022975
"Ararat-Armenia","Armenia",0,"not out",0.625,0,":am:","Armenia: 0.625 points","Republican Stadium",40.171944,44.525833
"Ararat Yerevan","Armenia",0.125,"out",0.625,20,":am:","Armenia: 0.625 points","Republican Stadium",40.171944,44.525833
"Aris Limassol","Cyprus",0,"not out",0,,":cy:","Cyprus: 0 points",,,
"Aris Thessaloniki","Greece",0,"not out",0,,":gr:","Greece: 0 points","Kleanthis Vikelidis Stadium",40.600069,22.9695
"Arsenal","England",0,"not out",2.286,0,":gb-eng:","England: 2.286 points","Emirates Stadium",51.554867,-0.109112
"AS Monaco","France",0,"not out",1.333,0,":fr:","France: 1.333 points","Stade Louis II",43.727778,7.415556
"AS Roma","Italy",0,"not out",2.286,0,":it:","Italy: 2.286 points","Stadio Olimpico",41.933872,12.454714
"Atlètic Club d'Escaldes","Andorra",0.167,"out",0.5,33.3,":ad:","Andorra: 0.5 points",,,
"Atlético Madrid","Spain",0.571,"not out",2.286,25,":es:","Spain: 2.286 points","Estadio Metropolitano",40.436111,-3.599444
"Austria Wien","Austria",0,"not out",0.8,0,":at:","Austria: 0.8 points","Generali Arena",48.162306,16.386694
"AZ Alkmaar","Netherlands",0,"not out",0.8,0,":nl:","Netherlands: 0.8 points","AFAS Stadion",52.6125,4.741667
"B36 Torshavn","Faroe Islands",0.25,"not out",1.25,20,":fo:","Faroe Islands: 1.25 points","Gundadalur",62.0193487,-6.7811394
"Bala Town","Wales",0.333,"out",1,33.3,":gb-wls:","Wales: 1 points","Maes Tegid",52.912222,-3.601389
"BATE Borisov","Belarus",0,"not out",0.5,0,":by:","Belarus: 0.5 points","Borisov Arena",54.192777777,28.475694444
"Bayer Leverkusen","Germany",0.5,"not out",2.5,20,":de:","Germany: 2.5 points","BayArena",51.038255555,7.002205555
"Bayern München","Germany",0.5,"not out",2.5,20,":de:","Germany: 2.5 points","Allianz Arena",48.218775,11.624752777
"Benfica","Portugal",0,"not out",1.333,0,":pt:","Portugal: 1.333 points","Estádio da Luz",38.752677777,-9.184680555
"Bodø/Glimt","Norway",0.25,"not out",0.25,100,":no:","Norway: 0.25 points","Aspmyra Stadion",67.2775,14.384166666
"Borussia Dortmund","Germany",0.5,"not out",2.5,20,":de:","Germany: 2.5 points","Westfalenstadion",51.4925,7.451667
"Botev Plovdiv","Bulgaria",0,"not out",0.5,0,":bg:","Bulgaria: 0.5 points","Hristo Botev Stadium",42.139861,24.764444
"Breidablik","Iceland",0.667,"not out",1.833,36.4,":is:","Iceland: 1.833 points","Kópavogsvöllur",64.104167,-21.896667
"Brøndby IF","Denmark",0,"not out",0,,":dk:","Denmark: 0 points","Brøndby Stadium",55.648853,12.418358
"Buducnost Podgorica","Montenegro",0.375,"not out",0.625,60,":me:","Montenegro: 0.625 points","Podgorica City Stadium",42.444728,19.264378
"Celtic","Scotland",0.8,"not out",0.8,100,":gb-sct:","Scotland: 0.8 points","Celtic Park",55.849696,-4.2055427
"CFR Cluj","Romania",0.25,"not out",0.25,100,":ro:","Romania: 0.25 points","Stadionul Dr. Constantin Radulescu",46.779678,23.577247
"Chelsea","England",0.571,"not out",2.286,25,":gb-eng:","England: 2.286 points","Stamford Bridge",51.481666666,-0.191111111
"Cliftonville","Northern Ireland",0,"out",0.625,0,":gb-nir:","Northern Ireland: 0.625 points","Solitude",54.619517,-5.947272
"Club Brugge","Belgium",0.8,"not out",0.8,100,":be:","Belgium: 0.8 points","Jan Breydel Stadium",51.193269,3.181311
"Crusaders Belfast","Northern Ireland",0.25,"not out",0.625,40,":gb-nir:","Northern Ireland: 0.625 points","Seaview",54.624294,-5.921925
"Crvena zvezda","Serbia",0,"not out",0,,":rs:","Serbia: 0 points","Red Star Stadium",44.7832,20.464914
"CS Fola Esch","Luxembourg",0,"out",0.625,0,":lu:","Luxembourg: 0.625 points","Stade Émile Mayrisch",49.492222222,5.989722222
"CSKA Sofia","Bulgaria",0,"not out",0.5,0,":bg:","Bulgaria: 0.5 points","Balgarska Armia Stadium",42.684258,23.339769
"Cukaricki Belgrade","Serbia",0,"not out",0,,":rs:","Serbia: 0 points","Stadion Cukaricki",44.772658,20.421639
"DAC Dunajska Streda","Slovakia",0.5,"not out",1.25,40,":sk:","Slovakia: 1.25 points","DAC Stadion",47.99888889,17.61833333
"Decic Tuzi","Montenegro",0.125,"out",0.625,20,":me:","Montenegro: 0.625 points","Stadion Tuško Polje",42.3599,19.3264
"Derry City","Ireland",0,"out",0.625,0,":ie:","Ireland: 0.625 points","Brandywell Stadium",54.990633,-7.336
"Differdange 03","Luxembourg",0.125,"out",0.625,20,":lu:","Luxembourg: 0.625 points","Stade Municipal de la Ville de Differdange",49.513932,5.889775
"Dila Gori","Georgia",0.125,"out",0.75,16.7,":ge:","Georgia: 0.75 points","Tengiz Burjanadze Stadium",41.983019,44.103828
"Dinamo Batumi","Georgia",0.125,"not out",0.75,16.7,":ge:","Georgia: 0.75 points","Chele Arena",41.812981,41.774458
"Dinamo Kyiv","Ukraine",0,"not out",0.8,0,":ua:","Ukraine: 0.8 points",,,
"Dinamo Minsk","Belarus",0.375,"not out",0.5,75,":by:","Belarus: 0.5 points","Dinamo Stadium",53.895138888,27.560277777
"Dinamo Tbilisi","Georgia",0.25,"out",0.75,33.3,":ge:","Georgia: 0.75 points","Dinamo Arena",41.723,44.78975
"Djurgårdens IF","Sweden",0,"not out",0.375,0,":se:","Sweden: 0.375 points","Stockholm Olympic Stadium",59.345278,18.078889
"Dundee United","Scotland",0,"not out",0.8,0,":gb-sct:","Scotland: 0.8 points",,,
"Eintracht Frankfurt","Germany",0.5,"not out",2.5,20,":de:","Germany: 2.5 points","Waldstadion",50.068611,8.645278
"Europa FC","Gibraltar",0,"out",0.875,0,":gi:","Gibraltar: 0.875 points","Victoria Stadium",36.149356,-5.350342
"F91 Dudelange","Luxembourg",0.5,"not out",0.625,80,":lu:","Luxembourg: 0.625 points","Stade Jos Nosbaum",49.472222222,6.084722222
"FC Ballkani","Kosovo",0.125,"not out",0.75,16.7,":xk:","Kosovo: 0.75 points",,,
"FC Barcelona","Spain",0.571,"not out",2.286,25,":es:","Spain: 2.286 points","Camp Nou",41.380833,2.1225
"FC Basel","Switzerland",0,"not out",0,,":ch:","Switzerland: 0 points","St. Jakob-Park",47.541389,7.62
"FC Drita","Kosovo",0.25,"not out",0.75,33.3,":xk:","Kosovo: 0.75 points","Stadium Bogovinje",41.4375,22.7689
"FC Fehérvár","Hungary",0,"not out",0.375,0,":hu:","Hungary: 0.375 points","Sóstói Stadion",47.17369444,18.41536111
"FC Gomel","Belarus",0,"not out",0.5,0,":by:","Belarus: 0.5 points",,,
"FC København","Denmark",0,"not out",0,,":dk:","Denmark: 0 points","Parken Stadium",55.702469,12.572203
"FC Lugano","Switzerland",0,"not out",0,,":ch:","Switzerland: 0 points","Cornaredo Stadium",46.023611,8.961667
"FC Midtjylland","Denmark",0,"not out",0,,":dk:","Denmark: 0 points","MCH Arena",56.11666667,8.95166667
"FC Nantes","France",0,"not out",1.333,0,":fr:","France: 1.333 points",,,
"FC Porto","Portugal",0.667,"not out",1.333,50,":pt:","Portugal: 1.333 points","Estádio do Dragão",41.161758,-8.583933
"FC Salzburg","Austria",0.8,"not out",0.8,100,":at:","Austria: 0.8 points","Red Bull Arena",47.81625,12.998222222
"FC Twente Enschede","Netherlands",0,"not out",0.8,0,":nl:","Netherlands: 0.8 points",,,
"FC Vaduz","Liechtenstein",0,"not out",0,,":li:","Liechtenstein: 0 points","Rheinpark Stadion",47.140277777,9.510277777
"FC Zürich","Switzerland",0,"not out",0,,":ch:","Switzerland: 0 points","Letzigrund",47.382791,8.503801
"FCB Magpies","Gibraltar",0.25,"out",0.875,28.6,":gi:","Gibraltar: 0.875 points",,,
"FCSB","Romania",0,"not out",0.25,0,":ro:","Romania: 0.25 points","National Arena",44.4372,26.1525
"Fenerbahçe","Turkey",0,"not out",0,,":tr:","Turkey: 0 points","Sükrü Saracoglu Stadium",40.9875,29.036666666
"Ferencváros","Hungary",0.375,"not out",0.375,100,":hu:","Hungary: 0.375 points","Groupama Arena",47.475277777,19.096111111
"Feyenoord","Netherlands",0,"not out",0.8,0,":nl:","Netherlands: 0.8 points","De Kuip",51.893894444,4.523252777
"Fiorentina","Italy",0,"not out",2.286,0,":it:","Italy: 2.286 points","Stadio Artemio Franchi (Florence)",43.780822,11.282258
"FK Astana","Kazakhstan",0,"not out",0.125,0,":kz:","Kazakhstan: 0.125 points","Astana Arena",51.108056,71.401667
"FK Borac Banja Luka","Bosnia-Herzegovina",0.25,"out",0.875,28.6,":ba:","Bosnia-Herzegovina: 0.875 points","Gradski stadion",44.7761,17.1996
"FK Kyzylzhar","Kazakhstan",0,"not out",0.125,0,":kz:","Kazakhstan: 0.125 points",,,
"FK Liepaja","Latvia",0.25,"not out",1,25,":lv:","Latvia: 1 points","Daugava Stadium",56.502952,20.995424
"FK Panevezys","Lithuania",0.125,"out",0.625,20,":lt:","Lithuania: 0.625 points","Aukštaitija Stadium",55.739167,24.359444
"FK Shkupi","North Macedonia",0.25,"not out",0.625,40,":mk:","North Macedonia: 0.625 points","Cair Stadium",42.0155,21.4443
"Flora Tallinn","Estonia",0.333,"out",0.667,50,":ee:","Estonia: 0.667 points","A. Le Coq Arena",59.421292,24.73205
"Floriana","Malta",0.125,"out",0.875,14.3,":mt:","Malta: 0.875 points","Ta' Qali National Stadium",35.894863888,14.415372222
"Gabala FK","Azerbaijan",0,"not out",0.25,0,":az:","Azerbaijan: 0.25 points","Gabala City Stadium",40.985194444,47.8425
"Gil Vicente","Portugal",0,"not out",1.333,0,":pt:","Portugal: 1.333 points",,,
"GNK Dinamo","Croatia",0,"not out",0,,":hr:","Croatia: 0 points",,,
"Gzira United","Malta",0.375,"not out",0.875,42.9,":mt:","Malta: 0.875 points","Ta' Qali National Stadium",35.894863888,14.415372222
"Hajduk Split","Croatia",0,"not out",0,,":hr:","Croatia: 0 points","Stadion Poljud",43.519444,16.431667
"Hamrun Spartans","Malta",0.25,"not out",0.875,28.6,":mt:","Malta: 0.875 points",,,
"Hapoel Beer-Sheva","Israel",0,"not out",0,,":il:","Israel: 0 points","Turner Stadium",31.2731,34.7794
"HB Torshavn","Faroe Islands",0.25,"out",1.25,20,":fo:","Faroe Islands: 1.25 points","Gundadalur",62.0193487,-6.7811394
"Hearts FC","Scotland",0,"not out",0.8,0,":gb-sct:","Scotland: 0.8 points",,,
"Hibernians FC","Malta",0.125,"not out",0.875,14.3,":mt:","Malta: 0.875 points","Hibernians Stadium",35.882861111,14.513027777
"HJK Helsinki","Finland",0.25,"not out",1.125,22.2,":fi:","Finland: 1.125 points","Finnair Stadium",60.18689398,24.92606242
"IF Elfsborg","Sweden",0,"not out",0.375,0,":se:","Sweden: 0.375 points","Borås Arena",57.73457,12.934334
"Inter Club d'Escaldes","Andorra",0.333,"not out",0.5,66.7,":ad:","Andorra: 0.5 points","Estadi Comunal d'Aixovall",42.476389,1.487667
"Inter Turku","Finland",0.25,"out",1.125,22.2,":fi:","Finland: 1.125 points","Veritas Stadion",60.442778,22.291667
"Internazionale","Italy",0.571,"not out",2.286,25,":it:","Italy: 2.286 points","Stadio Giuseppe Meazza",45.478055,9.123947
"Iskra Danilovgrad","Montenegro",0.125,"out",0.625,20,":me:","Montenegro: 0.625 points","Braca Velaševic Stadium",42.55408333,19.10294444
"Istanbul Basaksehir","Turkey",0,"not out",0,,":tr:","Turkey: 0 points","Atatürk Olympic Stadium",41.074472222,28.765702777
"Juventus","Italy",0.571,"not out",2.286,25,":it:","Italy: 2.286 points","Juventus Stadium",45.1096276,7.6412431
"Kairat Almaty","Kazakhstan",0,"not out",0.125,0,":kz:","Kazakhstan: 0.125 points","Almaty Central Stadium",43.238331,76.92435
"Kauno Zalgiris","Lithuania",0.125,"out",0.625,20,":lt:","Lithuania: 0.625 points","Darius and Girenas Stadium",54.897222,23.936944
"KF Laçi","Albania",0.375,"not out",0.625,60,":al:","Albania: 0.625 points","Laçi Stadium",41.64248,19.711672
"KF Llapi","Kosovo",0.125,"out",0.75,16.7,":xk:","Kosovo: 0.75 points","City Stadium",42.905,21.19472222
"KF Tirana","Albania",0,"not out",0.625,0,":al:","Albania: 0.625 points","Selman Stërmasi Stadium",41.31898056,19.81138333
"KI Klaksvik","Faroe Islands",0.25,"not out",1.25,20,":fo:","Faroe Islands: 1.25 points","Djúpumýra Stadium",62.225246,-6.579201
"Kisvárda FC","Hungary",0,"not out",0.375,0,":hu:","Hungary: 0.375 points",,,
"Konyaspor","Turkey",0,"not out",0,,":tr:","Turkey: 0 points","Konya Atatürk Stadium",37.865389,32.483278
"KR Reykjavik","Iceland",0.333,"out",1.833,18.2,":is:","Iceland: 1.833 points","KR-völlur",64.145683,-21.967728
"KuPS Kuopio","Finland",0.375,"not out",1.125,33.3,":fi:","Finland: 1.125 points","Kehrweg Stadion",50.626389,6.045833
"La Fiorita","San Marino",0,"not out",0.667,0,":sm:","San Marino: 0.667 points","Stadio Olimpico",43.97125,12.476972
